#{"t_start": 1760136398.587804, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
225.2,164,2784.607574
225.5,146,2786.212629
998.7,774,2795.092592
609.1,570,2801.404559
591.9,282,2804.514791
745.3,688,2812.35535
242.9,132,2813.797157
592.8,458,2819.10204
946.0,1311,2833.779058
1283.1,910,2844.246685
592.9,412,2848.837235
214.6,180,2850.823687
228.3,138,2852.649622
582.9,382,2856.942785
775.8,678,2864.788337
609.8,408,2869.283114
938.6,1295,2884.212402
732.8,588,2891.138523
569.9,472,2896.465003
222.5,166,2898.358139
621.1,300,2901.982622
233.5,166,2903.819529
653.4,1132,2916.559496
242.6,130,2918.007439
224.5,156,2919.726696
230.3,138,2921.258195
232.9,152,2923.214455
226.9,192,2925.337295
1228.4,1427,2941.338057
596.3,338,2945.071513
602.2,414,2951.796462
1193.9,1777,2972.112536
597.3,698,2979.832826
608.9,332,2983.774701
1105.9,722,2991.824059
580.3,358,2996.12489
998.2,739,3004.465808
617.3,358,3008.729486
240.6,120,3010.122716
234.7,144,3011.76329
953.3,1198,3025.864698
595.8,348,3030.167593
226.2,154,3032.012053
607.3,328,3035.798517
239.6,140,3037.433772
581.1,410,3042.3952
1015.6,795,3051.52506
593.5,276,3055.017757
224.5,146,3056.73789
224.7,144,3058.442595
1233.3,1338,3074.072766
1859.1,1100,3087.169716
236.7,124,3088.60804
1112.8,738,3097.452924
227.0,136,3099.038472
1012.8,583,3105.978469
1350.7,1164,3119.486354
236.0,126,3120.913971
597.1,360,3125.055151
1007.9,657,3132.814911
617.9,282,3135.980398
1351.4,942,3146.700801
608.5,286,3150.245765
243.5,136,3151.797327
701.1,460,3156.909824
528.5,796,3166.186939
601.3,288,3169.435154
609.9,392,3174.218548
594.7,384,3178.572942
238.2,134,3180.141109
610.0,326,3183.88168
777.5,656,3191.634751
243.5,126,3193.081361
228.0,146,3194.771367
984.3,853,3204.896259
1249.4,1307,3220.079175
222.6,150,3222.071129
235.6,130,3223.57121
222.6,170,3225.511115
608.5,286,3228.79132
594.6,400,3233.674433
578.9,442,3238.708278
230.8,158,3240.535476
221.5,176,3242.526705
1256.9,962,3253.814866
246.4,122,3255.224905
600.4,392,3261.946096
219.9,172,3263.885065
602.1,260,3266.853746
1007.2,759,3275.757199
235.1,130,3277.233209
1840.3,1228,3291.55592
590.0,296,3295.19789
559.5,406,3299.748722
223.8,148,3301.389408
243.4,122,3302.774308
591.2,464,3308.124735
242.7,124,3309.571938
240.5,136,3311.118405
1601.0,1316,3326.613017
212.7,174,3328.657677
634.7,324,3332.661858
1304.1,720,3340.949043
608.1,420,3346.010716
1259.2,979,3357.629043
611.2,564,3364.123625
572.4,452,3369.549565
989.0,831,3379.227368
1277.0,1006,3390.980597
741.1,490,3396.409842
769.5,736,3404.991938
241.8,118,3406.314083
234.4,152,3408.001897
236.0,146,3409.615135
997.8,768,3418.378849
209.6,180,3420.368468
608.7,384,3424.57106
206.5,166,3426.675586
216.9,172,3428.584409
1245.7,1194,3442.020514
685.4,552,3448.211914
602.1,330,3452.118538
225.6,170,3454.012554
230.9,132,3455.489859
1234.4,1322,3470.274796
969.3,1003,3481.560039
602.7,304,3485.165074
634.1,320,3488.721985
584.0,486,3494.072259
604.9,352,3498.215344
596.3,258,3501.044686
1222.9,1382,3516.632788
987.1,840,3526.197959
1191.0,1656,3545.081325
709.7,624,3551.998721
225.6,150,3553.929138
2610.9,2442,3582.264974
588.6,400,3586.907532
572.2,434,3592.217075
791.1,520,3598.161872
594.5,266,3601.497743
596.1,350,3605.568952
230.7,154,3607.383266
780.2,634,3615.023026
581.5,456,3620.274494
610.7,344,3624.1981
940.6,1340,3640.006596
211.2,174,3642.012149
1647.2,834,3651.724632
1014.7,574,3658.122566
599.7,384,3662.652375
242.7,124,3664.001416
233.0,146,3665.624917
592.0,606,3672.605148
600.5,286,3675.732521
1731.2,1724,3695.370426
223.4,162,3697.15056
241.3,148,3698.81411
240.6,130,3700.276545
764.5,796,3709.362489
1258.1,1130,3722.217633
603.1,310,3725.738637
947.8,1208,3741.780765
227.9,142,3743.38642
1175.6,1830,3764.478949
790.4,532,3770.951425
236.8,168,3773.391201
617.8,358,3778.370999
708.0,606,3786.821834
697.9,702,3794.877783
232.3,148,3796.512045
1801.3,1128,3809.46561
1242.9,1282,3823.879389
237.7,144,3825.493113
1013.4,777,3834.397389
228.1,140,3835.96573
1004.3,778,3844.830321
1246.0,1311,3859.547441
1015.1,640,3866.860769
952.0,1181,3880.126646
1091.9,1172,3893.40783
585.3,398,3897.785069
1343.5,1166,3911.273723
611.9,362,3915.280532
1641.9,952,3926.130248
1500.5,1116,3938.706371
236.9,132,3940.171993
606.7,434,3945.212837
608.8,368,3949.238337
743.5,656,3956.796899
228.7,144,3958.384277
590.1,440,3963.211235
742.5,666,3970.805036
1365.3,928,3981.336137
226.7,154,3983.096523
1132.2,754,3991.634311
1009.8,623,3998.552342
997.7,754,4007.120505
739.4,1042,4018.929183
234.2,134,4020.408673
236.3,148,4022.024506
991.6,825,4031.379026
577.0,456,4036.368345
1237.7,1094,4049.044346
646.2,1214,4062.741926
226.4,152,4064.411265
239.1,140,4065.960579
226.5,146,4067.55826
728.3,598,4074.477618
1617.5,1146,4087.353049
218.0,166,4089.180519
594.8,368,4093.246764
233.1,130,4094.936281
594.9,342,4098.727731
1005.2,659,4106.184252
687.3,688,4113.735857
602.5,256,4116.535739
1274.1,960,4127.349411
618.5,346,4131.421356
610.1,570,4137.68815
1016.7,544,4143.895167
601.1,330,4147.540142
591.1,480,4153.114703
1285.5,891,4162.970382
615.6,360,4167.259549
220.7,154,4168.929423
606.3,358,4172.872794
231.9,152,4174.559804
234.6,140,4176.372333
752.1,910,4186.366378
579.6,480,4191.906436
218.0,156,4193.614748
1127.3,508,4199.505297
614.3,348,4203.290977
230.2,154,4204.98777
227.7,134,4206.475972
718.0,636,4213.791532
606.9,602,4220.382931
1261.4,922,4230.812322
238.2,134,4232.301213
711.3,638,4239.587352
4867.6,2322,4267.62912
1287.9,414,4272.487585
1402.1,1015,4284.054793
611.5,556,4290.205272
232.8,148,4291.831034
569.2,444,4296.995815
747.8,528,4302.810464
911.5,1596,4321.013453
1003.5,786,4329.91516
222.8,148,4331.530483
998.2,739,4339.884125
640.0,1186,4353.148738
1022.8,573,4359.48411
600.1,340,4363.498538
608.1,590,4370.007956
611.3,368,4374.300557
591.8,328,4377.943631
230.3,148,4379.564826
234.6,140,4381.099268
785.6,580,4387.78538
245.5,116,4389.045446
2631.5,966,4399.926198
705.9,662,4407.400535
610.9,312,4411.138966
596.0,326,4414.724574
225.5,136,4416.239543
598.3,248,4418.95059
589.5,376,4423.362748
226.7,134,4424.863097
1253.6,1235,4438.73508
615.7,324,4442.576602
952.9,1222,4456.244865
1092.9,762,4464.741186
591.1,410,4469.54248
1292.5,836,4479.191633
723.5,556,4485.307972
1463.2,1574,4503.474038
605.6,300,4506.849602
991.9,812,4516.291647
226.3,158,4518.08683
238.9,122,4519.417037
240.1,140,4520.961878
236.5,126,4522.366264
241.6,120,4523.79768
588.5,376,4528.19005
242.7,124,4529.560652
1366.5,856,4539.400054
677.7,1114,4552.034246
708.9,472,4557.241609
1125.0,626,4564.37929
242.4,112,4565.608083
766.1,770,4574.325344
599.5,366,4578.356441
551.7,514,4584.298588
589.5,426,4589.01558
637.5,296,4592.266664
1532.1,830,4601.656326
600.6,320,4605.437839
227.7,154,4607.128516
1247.6,1065,4619.109717
238.6,130,4620.56992
991.2,789,4629.52177
1898.2,1214,4643.128662
1013.3,618,4650.064361
5264.3,2540,4680.791743
2137.3,540,4686.759344
227.8,138,4688.54248
784.5,586,4695.043879
623.4,442,4700.197714
991.3,818,4709.148215
227.6,140,4710.997812
232.7,144,4712.545373
192.9,182,4714.5807
971.0,1011,4725.951673
1000.2,689,4733.56401
246.2,114,4735.089435
594.9,272,4738.077823
1568.5,726,4746.291117
237.5,126,4747.688047
228.8,178,4749.669749
590.9,452,4754.611829
571.9,402,4759.332669
214.6,170,4761.206973
1003.2,779,4770.218122
995.1,770,4780.688229
240.1,120,4782.273817
982.6,835,4791.468028
605.0,626,4798.629798
238.9,132,4800.094095
668.1,710,4808.152142
237.7,134,4809.636552
588.1,420,4814.242141
619.1,1250,4828.504979
1460.7,1134,4841.252764
1923.3,878,4851.156378
242.7,134,4852.682848
1009.3,713,4860.573219
1938.1,860,4870.345482
609.3,428,4875.322513
586.9,292,4878.513886
598.0,286,4881.661181
1297.4,722,4890.016469
228.8,138,4891.555609
608.1,430,4896.277051
606.9,362,4900.530618
729.3,668,4907.883902
607.2,604,4914.808278
592.1,310,4918.21421
1011.1,660,4925.77561
227.7,134,4927.25043
239.6,130,4928.676538
226.6,150,4930.357849
1485.9,1232,4944.442523
1395.9,702,4952.152575
1000.0,736,4960.580175
1024.4,647,4967.961676
735.1,680,4975.459339
589.7,404,4980.212643
618.1,340,4983.925891
608.3,358,4990.244775
588.6,290,4993.720498
614.9,332,4997.379657
594.5,266,5000.295356
598.9,262,5003.593097
580.3,378,5007.749803
1371.3,818,5017.034957
1278.4,847,5026.614347
236.1,140,5028.159201
622.2,324,5031.71369
777.7,654,5039.205415
2797.9,1487,5055.840497
613.3,338,5059.576587
1253.0,986,5070.742182
593.3,328,5074.619407
1004.1,685,5082.167403
236.9,132,5083.647688
1007.8,668,5091.2957
608.4,342,5095.119899
637.9,292,5098.668305
1524.8,928,5109.301086
1242.8,1163,5122.495083
611.7,354,5126.545172
219.9,162,5128.372629
2852.4,1402,5144.678908
233.2,144,5146.299681
591.3,298,5149.66556
579.7,394,5154.101212
1303.7,734,5164.831059
611.0,566,5171.365007
602.7,354,5175.264729
587.0,406,5180.015756
779.9,632,5186.956666
612.1,300,5190.257145
1863.6,1030,5201.884896
1009.2,624,5209.112652
1015.7,634,5218.421637
723.7,484,5223.828157
606.7,384,5228.331601
238.3,128,5229.754136
608.8,378,5233.952219
762.9,802,5243.063317
1023.2,579,5249.592911
744.9,982,5260.706105
215.1,170,5262.595866
1776.3,1158,5275.917939
228.9,142,5277.496886
993.2,789,5286.454819
231.1,140,5288.029669
1358.7,954,5298.791633
1259.3,918,5308.878228
229.9,152,5310.812789
238.2,124,5312.158462
952.4,1197,5325.587942
213.5,166,5327.468671
577.5,496,5333.215458
724.9,732,5343.154623
596.9,392,5347.784019
1091.1,960,5358.590559
232.5,146,5360.179887
598.5,296,5363.559964
1228.3,1338,5378.510431
241.7,124,5379.896345
244.9,122,5381.503744
597.3,698,5389.18922
1257.5,1126,5401.9369
1277.5,866,5413.888402
1014.2,594,5420.86239
239.6,120,5422.172705
220.7,164,5423.96364
1301.5,691,5431.994392
600.4,392,5436.406198
595.1,350,5440.378689
607.7,314,5444.269178
232.4,142,5445.876722
241.6,120,5447.26113
604.7,334,5451.049541
604.7,334,5455.126898
1027.4,517,5460.956085
1109.9,722,5469.40477
242.9,122,5470.804538
609.7,314,5474.364818
227.5,156,5476.413179
1006.3,653,5483.792043
1022.0,581,5490.547863
727.5,666,5497.89994
955.7,1224,5512.273579
594.1,360,5516.334682
594.7,314,5519.912301
1096.7,854,5529.83789
1313.0,661,5537.560531
744.1,680,5545.243778
234.7,144,5547.140911
239.3,138,5548.714743
242.5,126,5550.156598
229.8,148,5551.845153
242.5,136,5553.372534
618.8,358,5557.330536
686.5,546,5563.608012
608.8,308,5566.973274
709.7,754,5575.572646
1858.9,1052,5587.46402
240.5,116,5588.753971
598.9,352,5592.60522
1029.9,502,5598.362358
605.7,404,5602.837718
1297.0,761,5611.787469
577.1,380,5616.160851
1278.5,1071,5629.109197
616.9,322,5632.917045
220.9,152,5634.701808
1287.4,847,5644.875462
1020.4,517,5650.929237
1004.4,677,5660.596324
611.0,286,5663.952727
597.9,282,5669.692205
613.7,334,5673.602216
598.3,298,5677.085088
1007.9,627,5684.663479
598.9,332,5688.546199
236.1,130,5690.064976
940.0,1336,5706.118223
1069.9,1142,5719.677424
1096.5,796,5728.961375
1350.0,1066,5741.27293
715.5,526,5747.468993
596.3,328,5751.296704
243.4,122,5752.741171
604.7,624,5760.052183
620.9,312,5763.604621
1375.0,856,5773.79218
611.5,556,5780.507189
241.3,128,5781.999581
237.1,130,5783.539516
986.7,944,5794.710654
237.2,144,5796.378698
1002.9,692,5804.695102
236.7,124,5806.147706
209.0,186,5808.325079
233.4,132,5809.852779
634.6,330,5813.713123
736.8,618,5821.091517
240.6,120,5822.469838
242.8,138,5824.026115
227.6,160,5825.873371
632.5,346,5830.052738
632.2,354,5834.096009
221.9,152,5835.864612
612.1,330,5840.017684
619.3,318,5843.863062
1850.7,1174,5857.793561
762.8,808,5867.526872
675.0,946,5878.791814
1004.2,709,5887.382758
721.1,560,5893.955339
239.1,130,5895.478673
721.9,722,5904.221056
727.3,578,5910.953083
1509.4,812,5920.721559
232.3,138,5922.322911
1022.2,499,5928.391408
1308.6,665,5936.410855
1007.7,604,5943.457295
609.5,356,5947.598132
1123.7,764,5956.624266
609.3,278,5960.078547
1530.3,798,5969.327862
229.1,150,5971.071745
234.5,136,5972.90548
603.9,332,5976.681893
243.0,126,5978.124347
748.3,648,5985.802986
223.0,146,5987.444284
602.3,268,5990.488889
985.5,866,6000.484304
1018.3,608,6007.322933
231.6,140,6009.121457
1336.9,1212,6022.732036
999.6,705,6030.78026
243.0,116,6032.07382
606.3,378,6036.211162
621.5,326,6039.811749
601.7,654,6047.313981
1304.2,749,6055.897384
1481.9,1062,6067.953818
996.8,1003,6079.311021
607.1,290,6082.533912
1004.4,652,6090.344056
575.0,366,6094.541977
243.1,130,6096.088977
950.8,1228,6110.418444
224.7,144,6112.101049
228.9,142,6114.029369
232.6,140,6115.686989
593.8,408,6120.377558
596.3,378,6125.005057
984.1,890,6135.298393
1275.7,834,6145.101597
769.5,616,6152.359182
237.7,134,6153.925278
602.5,336,6157.840121
1005.4,662,6165.75148
1144.5,736,6174.507494
1822.8,948,6185.628356
1366.9,1002,6197.358744
1258.7,1174,6211.22961
242.0,126,6212.664476
224.9,162,6214.545071
588.2,484,6220.041601
592.4,352,6224.296084
228.7,134,6225.816309
1221.3,1388,6241.653067
620.7,314,6245.40113
678.5,1056,6257.347119
229.0,146,6258.959371
235.3,128,6260.353132
1245.6,1275,6274.70874
1028.5,516,6280.66906
232.1,140,6282.197252
596.5,276,6285.240205
241.8,118,6286.566758
239.6,130,6287.996818
240.2,124,6289.361261
242.5,126,6291.015192
619.5,306,6294.40502
586.9,342,6298.17287
241.8,128,6299.597861
1004.9,867,6309.431181
237.9,122,6310.7968
226.0,146,6312.397691
612.1,310,6316.076258
1310.1,625,6325.144247
224.3,148,6326.788306
733.1,650,6334.247501
1000.7,709,6342.398238
960.3,1128,6355.251025
605.3,618,6362.058908
589.5,376,6366.491649
226.6,150,6368.160068
721.4,492,6373.600935
782.9,602,6380.468563
976.7,974,6391.432016
591.7,294,6394.69326
596.3,298,6398.289947
1387.6,840,6407.556187
981.4,977,6418.594258
242.7,134,6420.373575
1304.1,725,6428.333012
1000.3,723,6436.62858
588.1,380,6440.813428
611.1,560,6447.343453
607.9,592,6453.872892
1103.7,704,6461.904641
937.5,1361,6477.148043
594.5,266,6480.337598
703.8,518,6486.04986
1619.8,1198,6499.521981
604.7,344,6503.600781
220.3,148,6505.236773
605.3,328,6508.826235
242.2,114,6510.100097
1006.5,636,6517.374357
980.1,900,6527.522143
1011.6,620,6534.470711
1268.0,801,6543.908311
587.6,350,6548.154266
597.3,358,6552.21301
1109.7,674,6560.197074
241.9,122,6561.56066
583.0,406,6566.164654
233.8,138,6567.771649
1105.8,688,6576.01679
564.7,454,6581.336681
1105.9,662,6589.14468
231.6,130,6590.667481
228.6,140,6592.294924
589.8,278,6595.791668
601.7,294,6599.184994
972.9,1072,6611.995899
980.7,899,6622.701149
700.7,654,6630.216758
1018.5,641,6637.807611
571.1,420,6642.587054
600.8,268,6645.88033
1647.2,834,6655.417725
604.8,328,6659.421408
244.3,128,6660.877359
1047.4,1282,6675.790879
230.1,150,6677.487323
227.9,152,6679.243568
724.4,682,6687.388892
599.7,374,6691.858507
574.3,378,6696.0298
608.7,414,6700.715891
608.4,322,6704.548892
239.3,128,6705.958774
243.0,126,6707.339588
238.5,146,6708.935083
228.9,142,6710.534024
741.3,1008,6721.883976
1013.1,580,6728.53373
599.1,430,6733.280581
1033.4,597,6740.092015
695.1,730,6748.188366
1605.5,1246,6762.480161
1637.0,976,6773.541579
234.6,140,6775.081121
227.5,146,6776.68075
1275.0,951,6787.484244
599.1,250,6790.28582
1014.2,709,6798.466825
1013.5,666,6806.023456
227.7,144,6807.889365
1122.1,630,6814.863482
613.7,374,6819.289154
237.1,130,6820.725078
604.6,340,6824.460581
1268.3,1088,6836.702021
231.9,132,6838.162777
243.4,122,6839.499631
1617.6,1260,6853.965541
1356.3,1028,6865.604774
243.3,118,6866.877314
231.3,148,6868.53183
595.9,282,6871.633624
217.4,162,6873.442483
601.5,356,6877.67724
228.8,148,6879.349146
1255.0,1231,6893.708992
1270.3,978,6905.330728
225.5,166,6907.240825
590.7,354,6911.278648
596.2,324,6915.243275
1012.4,667,6923.125562
233.9,142,6925.049236
231.9,132,6926.601977
240.3,128,6928.060595
599.0,316,6931.731908
607.1,600,6938.959576
1254.6,1020,6950.943353
610.5,366,6955.108445
1274.9,767,6964.128744
607.7,374,6968.362933
609.7,334,6972.181145
1021.0,491,6978.044308
598.9,312,6981.572624
613.9,282,6985.053309
726.3,678,6992.736736
607.3,598,6999.69664
592.3,398,7004.142484
586.3,808,7013.308082
241.0,126,7014.707094
920.5,1526,7032.25974
223.1,160,7034.088583
593.3,288,7037.385992
1006.7,704,7045.727832
228.3,138,7047.309375
236.1,140,7048.917133
607.4,602,7056.023769
241.1,130,7057.517825
622.4,312,7061.065019
236.7,134,7062.640008
237.2,134,7064.192976
1015.8,608,7071.418969
596.2,374,7075.758545
1109.0,796,7085.121486
240.3,138,7086.733532
243.2,114,7088.03384
593.7,304,7091.751202
612.7,384,7096.170654
211.8,168,7098.121932
1300.7,674,7106.155433
1240.4,1187,7120.10146
240.1,130,7121.598375
610.9,562,7128.345021
579.7,394,7132.851088
242.1,120,7134.23514
1275.9,1022,7146.286712
964.8,1083,7159.006741
237.6,130,7160.49607
741.5,586,7167.575283
232.1,130,7169.083356
961.5,1096,7181.956191
231.5,156,7183.747265
1003.5,911,7194.551218
992.7,874,7204.877429
238.9,122,7206.314461
1849.7,1074,7218.977203
228.3,138,7220.580191
1238.1,1145,7233.925711
589.8,278,7237.30853
235.5,126,7238.728742
599.8,358,7242.737584
